date,hour,location,total_money,total_discount_money,total_tip_money,items,transactions,identified_customers,square_unique_ids
2019-10-31,19,Catering - Dram Shop Front,507.85,0.0,59.85,71,55,47,47
2019-10-31,20,Catering - Dram Shop Front,271.2,0.0,36.2,35,28,27,27
2019-10-31,21,Catering - Dram Shop Front,113.15,0.0,16.15,10,8,7,7
2019-10-31,22,Catering - Dram Shop Front,645.0,0.0,0.0,5,1,1,1
2019-12-08,10,Catering - Dram Shop Front,0.0,0.0,0.0,,1,1,1
2019-12-08,20,Catering - Dram Shop Front,1077.0,27.0,0.0,15,6,6,6
2019-12-08,21,Catering - Dram Shop Front,158.0,0.0,0.0,3,2,1,1
2021-07-04,18,Catering - Dram Shop Front,45.8,0.0,2.8,7,4,3,3
2021-07-04,19,Catering - Dram Shop Front,286.23,0.0,18.23,38,29,11,11
2021-07-04,20,Catering - Dram Shop Front,794.85,0.0,74.85,94,77,40,40
2021-07-04,21,Catering - Dram Shop Front,1576.73,0.0,108.73,190,133,58,58
2021-07-04,22,Catering - Dram Shop Front,1069.85,0.0,97.85,117,90,44,44
2021-08-09,19,Catering - Dram Shop Front,10576.0,0.0,0.0,2,2,1,1
2021-08-17,14,Catering - Dram Shop Front,0.0,0.0,0.0,1,1,1,1
2021-08-18,11,Catering - Dram Shop Front,0.0,0.0,0.0,1,1,1,1
2021-08-26,15,Catering - Dram Shop Front,0.0,0.0,0.0,1,1,1,1
2021-10-08,16,Catering - Dram Shop Front,55.4,0.0,8.4,6,6,5,5
2021-10-08,17,Catering - Dram Shop Front,116.2,0.0,14.2,14,12,8,8
2021-10-08,18,Catering - Dram Shop Front,19.0,0.0,1.0,3,3,2,2
2021-10-08,19,Catering - Dram Shop Front,120.8,0.0,18.8,13,9,8,8
2022-05-09,14,Catering - Dram Shop Front,425.39,0.0,0.0,1,1,1,1
2022-05-14,19,Catering - Dram Shop Front,103.0,0.0,8.0,17,16,1,6
2022-05-14,20,Catering - Dram Shop Front,73.5,0.0,4.5,13,11,1,4
2022-05-25,17,Catering - Dram Shop Front,0.0,0.0,0.0,,2,1,1
2022-05-26,14,Catering - Dram Shop Front,1757.0,0.0,0.0,1,1,1,1
2022-06-30,21,Catering - Dram Shop Front,0.0,0.0,0.0,,1,1,1
2022-07-01,14,Catering - Dram Shop Front,2518.15,0.0,0.0,1,1,1,1
2022-10-01,17,Catering - Dram Shop Front,28.0,0.0,4.0,4,3,3,3
2022-10-01,18,Catering - Dram Shop Front,140.85,1.0,17.85,16,11,1,10
2022-10-01,19,Catering - Dram Shop Front,271.3,0.0,43.3,33,14,5,14
2022-10-01,20,Catering - Dram Shop Front,8.0,0.0,1.0,1,1,1,1
2022-10-01,21,Catering - Dram Shop Front,626.0,0.0,14.0,13,4,4,4
2022-10-07,18,Catering - Dram Shop Front,1513.4,0.0,0.0,1,2,1,1
2022-10-21,17,Catering - Dram Shop Front,398.2,0.0,9.2,45,29,4,6
2022-10-21,18,Catering - Dram Shop Front,859.3,0.0,49.3,89,74,12,19
2022-10-21,19,Catering - Dram Shop Front,598.55,0.0,57.55,76,49,15,21
2022-10-21,20,Catering - Dram Shop Front,555.65,0.0,76.65,67,30,11,16
2022-10-21,21,Catering - Dram Shop Front,775.5,0.0,128.5,80,20,13,15
2022-10-21,22,Catering - Dram Shop Front,186.3,0.0,32.3,20,7,7,7
2023-04-25,17,Catering - Dram Shop Front,16.0,0.0,1.0,4,4,1,3
2023-04-25,18,Catering - Dram Shop Front,116.2,0.0,6.2,13,12,1,4
2023-04-25,19,Catering - Dram Shop Front,147.5,0.0,15.5,15,13,3,8
2023-04-25,20,Catering - Dram Shop Front,64.4,0.0,8.4,6,1,1,1
2023-06-15,12,Catering - Dram Shop Front,3394.0,0.0,0.0,1,1,1,1
2023-06-17,16,Catering - Dram Shop Front,113.0,0.0,2.0,17,13,1,2
2023-06-17,17,Catering - Dram Shop Front,124.0,0.0,2.0,20,18,1,2
2023-06-17,18,Catering - Dram Shop Front,162.8,0.0,4.8,23,21,1,4
2023-06-17,19,Catering - Dram Shop Front,166.0,0.0,3.0,25,22,2,4
2023-06-17,20,Catering - Dram Shop Front,341.95,0.0,25.95,43,26,5,8
2023-06-17,21,Catering - Dram Shop Front,329.85,0.0,41.85,43,16,6,11
2023-06-17,22,Catering - Dram Shop Front,92.7,0.0,16.7,13,3,3,3
2023-08-25,16,Catering - Dram Shop Front,21.4,0.0,3.4,2,2,1,2
2023-08-25,17,Catering - Dram Shop Front,27.5,0.0,2.5,3,3,1,3
2023-08-25,18,Catering - Dram Shop Front,30.0,0.0,0.0,1,1,1,1
2023-09-20,18,Catering - Dram Shop Front,192.3,0.0,12.3,12,12,5,5
2023-09-20,19,Catering - Dram Shop Front,381.8,8.8,21.6,10,5,4,4
2023-10-28,12,Catering - Dram Shop Front,6.0,0.0,1.0,1,1,1,1
2023-10-28,13,Catering - Dram Shop Front,58.0,0.0,2.0,7,6,1,3
2023-10-28,14,Catering - Dram Shop Front,104.8,0.0,3.8,13,13,1,4
2023-10-28,15,Catering - Dram Shop Front,238.3,0.0,13.3,28,26,1,9
2023-10-28,16,Catering - Dram Shop Front,182.9,0.0,12.9,23,19,1,10
2023-10-28,17,Catering - Dram Shop Front,179.4,0.0,13.4,24,18,1,11
2023-10-28,18,Catering - Dram Shop Front,94.1,0.0,9.1,8,5,2,3
2019-05-25,11,The Dram Shop Central,1.0,0.0,0.0,1,1,1,1
2019-06-07,9,The Dram Shop Central,18.0,0.0,0.0,6,6,1,1
2019-06-07,10,The Dram Shop Central,27.0,0.0,0.0,10,10,2,2
2019-06-07,17,The Dram Shop Central,71.0,0.0,22.0,10,6,3,3
2019-06-07,18,The Dram Shop Central,216.25,8.25,35.0,38,10,9,9
2019-06-07,19,The Dram Shop Central,103.5,0.0,23.0,16,6,6,6
2019-06-07,20,The Dram Shop Central,161.5,9.5,7.0,22,14,7,7
2019-06-07,21,The Dram Shop Central,326.25,5.5,53.0,45,15,13,13
2019-06-07,22,The Dram Shop Central,151.0,52.5,27.0,19,7,6,6
2019-06-08,12,The Dram Shop Central,96.5,9.0,4.5,15,11,4,4
2019-06-08,13,The Dram Shop Central,137.5,0.0,17.0,20,12,8,8
2019-06-08,14,The Dram Shop Central,287.0,0.0,41.5,52,21,14,14
2019-06-08,15,The Dram Shop Central,410.75,7.25,57.5,62,28,20,20
2019-06-08,16,The Dram Shop Central,405.25,10.5,61.0,69,22,16,16
2019-06-08,17,The Dram Shop Central,460.5,0.0,56.75,73,32,18,18
2019-06-08,18,The Dram Shop Central,422.05,21.25,67.8,60,18,17,17
2019-06-08,19,The Dram Shop Central,243.75,4.0,40.5,41,13,13,13
2019-06-08,20,The Dram Shop Central,228.75,2.0,22.0,37,13,11,11
2019-06-08,21,The Dram Shop Central,62.0,0.0,8.0,9,4,4,4
2019-06-08,22,The Dram Shop Central,115.25,15.25,17.0,22,10,7,7
2019-06-08,23,The Dram Shop Central,17.5,0.0,3.0,3,2,2,2
2019-06-09,13,The Dram Shop Central,29.0,0.0,4.5,4,4,4,4
2019-06-09,14,The Dram Shop Central,108.25,0.0,11.0,14,5,4,4
2019-06-09,15,The Dram Shop Central,121.5,0.0,16.0,18,7,3,3
2019-06-09,16,The Dram Shop Central,255.0,5.75,34.0,46,16,11,11
2019-06-09,17,The Dram Shop Central,81.0,14.5,12.0,17,7,4,4
2019-06-09,18,The Dram Shop Central,94.0,1.0,11.0,14,6,4,4
2019-06-09,19,The Dram Shop Central,273.25,0.0,38.5,32,16,14,14
2019-06-09,20,The Dram Shop Central,102.75,0.0,15.5,15,6,5,5
2019-06-09,21,The Dram Shop Central,120.0,0.0,16.0,16,10,7,7
2019-06-10,14,The Dram Shop Central,5.0,0.0,0.0,1,1,1,1
2019-06-10,15,The Dram Shop Central,34.5,0.0,3.0,5,3,3,3
2019-06-10,16,The Dram Shop Central,24.5,0.0,1.5,5,4,4,4
2019-06-10,17,The Dram Shop Central,112.5,4.5,12.0,19,15,7,7
2019-06-10,18,The Dram Shop Central,125.75,0.0,6.5,23,9,5,5
2019-06-10,19,The Dram Shop Central,152.0,2.0,19.5,23,12,7,7
2019-06-10,20,The Dram Shop Central,68.25,4.5,12.0,13,4,4,4
2019-06-10,21,The Dram Shop Central,69.5,0.0,12.25,13,8,5,5
2019-06-11,12,The Dram Shop Central,5.5,0.0,0.0,1,1,1,1
2019-06-11,13,The Dram Shop Central,21.5,0.0,3.0,3,2,2,2
2019-06-11,14,The Dram Shop Central,78.5,0.0,9.25,13,8,3,3
2019-06-11,15,The Dram Shop Central,97.5,9.75,8.0,13,9,4,4
2019-06-11,16,The Dram Shop Central,109.25,0.0,8.0,21,11,5,5
2019-06-11,17,The Dram Shop Central,109.75,0.0,16.5,15,5,5,5
2019-06-11,18,The Dram Shop Central,305.25,4.5,52.0,47,11,10,10
2019-06-11,19,The Dram Shop Central,102.5,0.0,14.0,13,5,5,5
2019-06-11,20,The Dram Shop Central,102.25,0.0,13.0,16,6,4,4
2019-06-11,21,The Dram Shop Central,115.0,0.0,19.0,16,7,5,5
2019-06-12,13,The Dram Shop Central,11.5,0.0,0.0,2,1,1,1
2019-06-12,14,The Dram Shop Central,68.5,0.0,6.0,7,3,2,2
2019-06-12,15,The Dram Shop Central,36.5,0.0,6.0,7,3,3,3
2019-06-12,16,The Dram Shop Central,75.0,0.0,2.0,8,5,2,2
2019-06-12,17,The Dram Shop Central,135.25,5.75,19.5,23,6,5,5
2019-06-12,18,The Dram Shop Central,80.5,0.0,9.0,11,5,5,5
2019-06-12,19,The Dram Shop Central,246.0,0.0,35.0,36,19,18,18
2019-06-12,20,The Dram Shop Central,363.5,5.5,62.5,60,32,21,21
2019-06-12,21,The Dram Shop Central,123.5,5.0,21.0,19,7,7,7
2019-06-12,22,The Dram Shop Central,40.0,0.0,7.0,5,1,1,1
2019-06-13,12,The Dram Shop Central,7.5,0.0,0.0,2,1,1,1
2019-06-13,13,The Dram Shop Central,26.0,0.0,5.0,4,1,1,1
2019-06-13,14,The Dram Shop Central,19.5,0.0,6.0,3,1,1,1
2019-06-13,15,The Dram Shop Central,25.5,0.0,0.0,2,2,2,2
2019-06-13,16,The Dram Shop Central,29.25,0.0,4.0,6,5,3,3
2019-06-13,17,The Dram Shop Central,193.0,2.75,21.0,31,16,8,8
2019-06-13,18,The Dram Shop Central,215.5,4.5,41.0,37,15,14,14
2019-06-13,19,The Dram Shop Central,144.5,0.0,21.0,20,9,6,6
2019-06-13,20,The Dram Shop Central,63.5,0.0,9.0,12,4,4,4
2019-06-13,21,The Dram Shop Central,228.75,0.0,37.0,36,7,7,7
2019-06-13,22,The Dram Shop Central,10.0,9.0,0.0,3,2,1,1
2019-06-13,23,The Dram Shop Central,10.5,0.0,0.0,2,1,1,1
2019-06-14,12,The Dram Shop Central,14.25,0.0,2.0,2,2,2,2
2019-06-14,13,The Dram Shop Central,13.0,0.0,1.0,1,1,1,1
2019-06-14,14,The Dram Shop Central,24.0,0.0,4.0,3,1,1,1
2019-06-14,15,The Dram Shop Central,57.0,0.0,9.0,7,5,5,5
2019-06-14,16,The Dram Shop Central,184.75,0.0,26.0,24,12,8,8
2019-06-14,17,The Dram Shop Central,229.75,0.0,17.0,25,15,11,11
2019-06-14,18,The Dram Shop Central,183.0,0.0,26.5,29,13,9,9
2019-06-14,19,The Dram Shop Central,306.0,0.0,39.0,46,23,17,17
2019-06-14,20,The Dram Shop Central,201.0,0.0,32.0,31,11,8,8
2019-06-14,21,The Dram Shop Central,238.0,0.0,25.0,38,12,8,8
2019-06-14,22,The Dram Shop Central,76.5,6.0,14.5,14,5,4,4
2019-06-15,12,The Dram Shop Central,40.75,0.0,2.0,5,3,2,2
2019-06-15,13,The Dram Shop Central,90.0,0.0,8.0,15,5,4,4
2019-06-15,14,The Dram Shop Central,193.5,0.0,5.5,12,5,4,4
2019-06-15,15,The Dram Shop Central,262.5,0.0,36.5,44,14,10,10
2019-06-15,16,The Dram Shop Central,300.75,0.0,39.25,45,18,12,12
2019-06-15,17,The Dram Shop Central,161.75,0.0,17.0,23,15,8,8
2019-06-15,18,The Dram Shop Central,218.87,9.88,19.0,34,10,5,5
2019-06-15,19,The Dram Shop Central,172.0,0.0,30.0,25,8,7,7
2019-06-15,21,The Dram Shop Central,7.0,0.0,1.5,1,1,1,1
2019-06-15,22,The Dram Shop Central,50.75,13.75,5.0,9,3,2,2
2019-06-16,12,The Dram Shop Central,97.0,0.0,10.0,11,6,5,5
2019-06-16,13,The Dram Shop Central,41.0,0.0,2.0,4,4,3,3
2019-06-16,14,The Dram Shop Central,156.25,14.25,16.25,22,10,8,8
2019-06-16,15,The Dram Shop Central,134.25,28.5,18.0,27,14,10,10
2019-06-16,16,The Dram Shop Central,110.25,21.25,12.0,20,7,6,6
2019-06-16,17,The Dram Shop Central,289.88,18.37,54.5,47,17,14,14
2019-06-16,18,The Dram Shop Central,94.0,0.0,14.0,15,7,6,6
2019-06-16,19,The Dram Shop Central,72.75,11.75,9.0,13,7,3,3
2019-06-16,20,The Dram Shop Central,87.5,0.0,22.0,11,5,5,5
2019-06-16,21,The Dram Shop Central,112.5,2.5,11.0,16,7,4,4
2019-06-16,22,The Dram Shop Central,36.25,2.25,0.0,8,4,2,2
2019-06-17,12,The Dram Shop Central,50.0,0.0,0.0,2,2,2,2
2019-06-17,13,The Dram Shop Central,50.0,0.0,0.0,1,1,1,1
2019-06-17,14,The Dram Shop Central,2.25,2.25,0.0,1,1,1,1
2019-06-17,15,The Dram Shop Central,54.5,0.0,3.0,11,5,4,4
2019-06-17,16,The Dram Shop Central,63.5,0.0,6.5,10,4,4,4
2019-06-17,17,The Dram Shop Central,128.0,0.0,22.5,18,7,7,7
2019-06-17,18,The Dram Shop Central,6.0,0.0,1.0,1,1,1,1
2019-06-17,19,The Dram Shop Central,45.0,0.0,2.0,7,3,2,2
2019-06-17,20,The Dram Shop Central,10.0,0.0,0.0,2,1,1,1
2019-06-17,21,The Dram Shop Central,94.5,0.0,13.75,16,5,5,5
2019-06-18,13,The Dram Shop Central,4.5,0.0,0.0,1,1,1,1
2019-06-18,14,The Dram Shop Central,62.5,0.0,4.5,10,3,3,3
2019-06-18,15,The Dram Shop Central,18.0,0.0,3.0,3,3,2,2
2019-06-18,16,The Dram Shop Central,75.0,0.0,6.0,14,10,5,5
2019-06-18,17,The Dram Shop Central,215.5,6.5,29.5,33,12,8,8
2019-06-18,18,The Dram Shop Central,296.5,0.0,44.5,45,15,11,11
2019-06-18,19,The Dram Shop Central,168.0,8.0,28.0,30,12,10,10
2019-06-18,20,The Dram Shop Central,120.0,0.0,13.0,23,15,7,7
2019-06-18,21,The Dram Shop Central,115.5,9.5,16.0,19,10,9,9
2019-06-19,12,The Dram Shop Central,13.0,0.0,2.0,2,1,1,1
2019-06-19,13,The Dram Shop Central,16.0,9.5,0.0,4,2,2,2
2019-06-19,14,The Dram Shop Central,41.0,0.0,5.5,6,2,2,2
2019-06-19,16,The Dram Shop Central,24.0,0.0,4.0,3,3,3,3
2019-06-19,17,The Dram Shop Central,42.0,0.0,0.0,6,4,1,1
2019-06-19,18,The Dram Shop Central,134.0,0.0,17.0,23,17,8,8
2019-06-19,19,The Dram Shop Central,91.5,0.0,7.75,15,11,6,6
2019-06-19,20,The Dram Shop Central,199.0,0.0,26.0,32,10,8,8
2019-06-19,21,The Dram Shop Central,219.0,0.0,36.0,37,14,11,11
2019-06-19,22,The Dram Shop Central,11.0,0.0,2.0,2,1,1,1
2019-06-20,12,The Dram Shop Central,94.0,0.0,0.0,2,1,1,1
2019-06-20,13,The Dram Shop Central,62.0,0.0,5.0,5,3,2,2
2019-06-20,14,The Dram Shop Central,25.0,0.0,0.0,6,3,1,1
2019-06-20,15,The Dram Shop Central,110.0,0.0,12.0,19,9,4,4
2019-06-20,16,The Dram Shop Central,179.25,6.25,8.5,27,14,6,6
2019-06-20,17,The Dram Shop Central,169.5,0.0,29.0,22,10,8,8
2019-06-20,18,The Dram Shop Central,233.75,0.0,17.0,40,16,9,9
2019-06-20,19,The Dram Shop Central,265.25,0.0,42.5,44,11,11,11
2019-06-20,20,The Dram Shop Central,142.25,0.0,21.0,24,8,8,8
2019-06-20,21,The Dram Shop Central,51.5,0.0,5.0,9,3,3,3
2019-06-20,22,The Dram Shop Central,36.5,2.5,5.0,7,3,3,3
2019-06-21,13,The Dram Shop Central,59.0,0.0,6.0,3,2,2,2
2019-06-21,14,The Dram Shop Central,18.0,2.5,2.0,5,3,2,2
2019-06-21,15,The Dram Shop Central,61.0,11.5,5.0,9,2,2,2
2019-06-21,16,The Dram Shop Central,148.5,19.0,30.5,19,9,8,8
2019-06-21,17,The Dram Shop Central,243.75,5.0,36.0,37,18,10,10
2019-06-21,18,The Dram Shop Central,291.5,0.0,35.0,47,20,13,13
2019-06-21,19,The Dram Shop Central,176.0,0.0,20.5,27,10,9,9
2019-06-21,20,The Dram Shop Central,195.5,0.0,35.0,34,12,11,11
2019-06-21,21,The Dram Shop Central,374.5,0.0,54.5,56,23,18,18
2019-06-21,22,The Dram Shop Central,257.25,0.0,34.0,37,10,10,10
2019-06-22,13,The Dram Shop Central,17.5,0.0,2.0,2,2,2,2
2019-06-22,14,The Dram Shop Central,146.25,0.0,19.0,16,5,5,5
2019-06-22,15,The Dram Shop Central,68.0,0.0,11.0,11,5,5,5
2019-06-22,16,The Dram Shop Central,135.5,0.0,19.0,21,10,8,8
2019-06-22,17,The Dram Shop Central,168.5,0.0,20.0,27,11,8,8
2019-06-22,18,The Dram Shop Central,383.0,11.5,37.0,48,15,13,13
2019-06-22,19,The Dram Shop Central,114.0,0.0,17.0,19,7,6,6
2019-06-22,20,The Dram Shop Central,131.5,5.0,19.0,19,11,7,7
2019-06-22,21,The Dram Shop Central,69.5,0.0,13.0,11,6,6,6
2019-06-22,22,The Dram Shop Central,18.5,0.0,5.0,3,2,2,2
2019-06-23,12,The Dram Shop Central,14.5,0.0,0.0,3,1,1,1
2019-06-23,13,The Dram Shop Central,64.5,0.0,12.0,8,4,4,4
2019-06-23,15,The Dram Shop Central,116.0,0.0,12.0,19,7,5,5
2019-06-23,16,The Dram Shop Central,400.5,9.5,46.0,51,19,13,13
2019-06-23,17,The Dram Shop Central,270.5,0.0,28.5,47,17,12,12
2019-06-23,18,The Dram Shop Central,173.5,0.0,30.0,26,7,7,7
2019-06-23,19,The Dram Shop Central,201.5,0.0,25.0,29,10,7,8
2019-06-23,20,The Dram Shop Central,146.5,0.0,22.5,20,7,4,4
2019-06-23,21,The Dram Shop Central,76.5,0.0,11.0,11,5,5,5
2019-06-24,12,The Dram Shop Central,4.5,0.0,0.0,1,1,1,1
2019-06-24,13,The Dram Shop Central,62.5,0.0,3.5,9,4,2,2
2019-06-24,14,The Dram Shop Central,42.0,0.0,4.0,8,5,3,3
2019-06-24,15,The Dram Shop Central,89.0,0.0,3.5,12,8,4,4
2019-06-24,16,The Dram Shop Central,2.25,0.0,0.0,1,1,1,1
2019-06-24,17,The Dram Shop Central,53.0,0.0,2.0,10,6,2,2
2019-06-24,18,The Dram Shop Central,90.75,0.0,10.0,16,10,4,4
2019-06-24,19,The Dram Shop Central,189.0,16.0,20.0,31,21,7,7
2019-06-24,20,The Dram Shop Central,80.0,4.5,10.0,14,7,5,5
2019-06-24,21,The Dram Shop Central,87.25,0.0,10.5,13,7,5,5
2019-06-25,15,The Dram Shop Central,30.0,0.0,3.0,6,5,2,2
2019-06-25,16,The Dram Shop Central,94.25,0.0,13.0,14,6,5,5
2019-06-25,17,The Dram Shop Central,170.0,9.5,21.0,27,13,9,9
2019-06-25,18,The Dram Shop Central,219.25,5.25,34.0,33,17,14,14
2019-06-25,19,The Dram Shop Central,220.75,0.0,41.5,35,18,12,12
2019-06-25,20,The Dram Shop Central,64.25,0.0,12.0,12,7,6,6
2019-06-25,21,The Dram Shop Central,99.5,0.0,18.0,14,6,6,6
2019-06-25,22,The Dram Shop Central,62.5,22.0,7.0,13,3,3,3
2019-06-26,13,The Dram Shop Central,61.0,0.0,5.0,6,2,2,2
2019-06-26,14,The Dram Shop Central,14.5,0.0,0.0,4,2,1,1
2019-06-26,15,The Dram Shop Central,112.5,0.0,10.0,9,4,4,4
2019-06-26,16,The Dram Shop Central,173.0,0.0,20.75,19,15,12,12
2019-06-26,17,The Dram Shop Central,319.6,0.0,30.1,45,24,11,11
2019-06-26,18,The Dram Shop Central,221.25,8.25,22.0,37,19,9,9
2019-06-26,19,The Dram Shop Central,346.78,0.0,47.28,55,22,14,14
2019-06-26,20,The Dram Shop Central,138.0,0.0,15.75,21,10,6,6
2019-06-26,21,The Dram Shop Central,149.0,0.0,28.0,15,6,6,6
2019-06-27,12,The Dram Shop Central,28.0,0.0,4.0,5,1,1,1
2019-06-27,13,The Dram Shop Central,15.5,0.0,2.0,1,1,1,1
2019-06-27,15,The Dram Shop Central,38.0,0.0,2.0,5,1,1,1
2019-06-27,16,The Dram Shop Central,82.5,0.0,7.5,16,11,5,5
2019-06-27,17,The Dram Shop Central,85.0,0.0,11.5,12,8,8,8
2019-06-27,18,The Dram Shop Central,53.0,0.0,8.0,9,6,5,5
2019-06-27,19,The Dram Shop Central,182.5,0.0,23.0,26,14,13,13
2019-06-27,20,The Dram Shop Central,356.27,29.75,46.52,55,20,15,15
2019-06-27,21,The Dram Shop Central,164.75,0.0,23.0,23,8,8,8
2019-06-27,22,The Dram Shop Central,85.0,0.0,15.0,13,4,3,3
2019-06-28,13,The Dram Shop Central,14.25,0.0,3.0,2,1,1,1
2019-06-28,14,The Dram Shop Central,29.0,0.0,7.0,3,2,2,2
2019-06-28,15,The Dram Shop Central,98.0,0.0,21.0,13,5,4,4
2019-06-28,16,The Dram Shop Central,121.0,0.0,15.25,21,10,9,9
2019-06-28,17,The Dram Shop Central,387.5,0.0,68.5,51,22,17,17
2019-06-28,18,The Dram Shop Central,191.25,0.0,20.0,31,13,10,10
2019-06-28,19,The Dram Shop Central,216.0,0.0,37.0,32,10,10,10
2019-06-28,20,The Dram Shop Central,139.5,0.0,16.0,19,6,5,5
2019-06-28,21,The Dram Shop Central,274.5,5.5,45.5,47,12,11,11
2019-06-28,22,The Dram Shop Central,173.0,8.0,28.75,26,9,8,8
2019-06-29,13,The Dram Shop Central,78.75,0.0,13.0,12,6,5,5
2019-06-29,14,The Dram Shop Central,95.5,0.0,7.0,6,4,4,4
2019-06-29,15,The Dram Shop Central,191.25,0.0,19.5,22,7,7,7
2019-06-29,16,The Dram Shop Central,169.25,0.0,14.0,24,14,9,9
2019-06-29,17,The Dram Shop Central,153.0,0.0,19.0,25,8,7,7
2019-06-29,18,The Dram Shop Central,85.5,0.0,15.0,14,6,6,6
2019-06-29,19,The Dram Shop Central,158.2,0.0,26.7,21,11,10,10
2019-06-29,20,The Dram Shop Central,81.0,0.0,11.0,9,3,3,3
2019-06-29,21,The Dram Shop Central,116.0,0.0,15.0,19,3,3,3
2019-06-29,22,The Dram Shop Central,18.75,0.0,5.0,3,2,2,2
2019-06-30,13,The Dram Shop Central,75.5,0.0,10.0,8,2,2,2
2019-06-30,14,The Dram Shop Central,164.75,0.0,22.0,20,7,7,7
2019-06-30,15,The Dram Shop Central,126.5,0.0,25.0,18,8,6,6
2019-06-30,16,The Dram Shop Central,144.5,0.0,21.0,25,7,7,7
2019-06-30,17,The Dram Shop Central,193.81,2.44,19.0,19,9,8,8
2019-06-30,18,The Dram Shop Central,45.25,0.0,8.0,8,4,4,4
2019-06-30,19,The Dram Shop Central,99.0,0.0,21.5,15,6,6,6
2019-06-30,20,The Dram Shop Central,129.25,0.0,17.0,17,4,4,4
2019-06-30,21,The Dram Shop Central,17.5,0.0,4.0,2,1,1,1
2019-06-30,22,The Dram Shop Central,70.0,0.0,8.0,9,2,2,2
2019-07-01,14,The Dram Shop Central,61.25,0.0,5.0,6,3,3,3
2019-07-01,15,The Dram Shop Central,72.0,0.0,9.5,13,7,6,6
2019-07-01,16,The Dram Shop Central,57.0,0.0,13.0,6,4,4,4
2019-07-01,17,The Dram Shop Central,98.5,0.0,8.0,14,6,4,4
2019-07-01,18,The Dram Shop Central,183.0,0.0,34.0,20,12,10,10
2019-07-01,19,The Dram Shop Central,132.5,0.0,17.5,22,13,11,11
2019-07-01,20,The Dram Shop Central,139.0,0.0,22.0,19,7,7,7
2019-07-01,21,The Dram Shop Central,30.5,0.0,7.0,5,4,4,4
2019-07-01,22,The Dram Shop Central,24.88,1.12,5.0,4,3,3,3
2019-07-02,12,The Dram Shop Central,6.5,0.0,1.0,1,1,1,1
2019-07-02,14,The Dram Shop Central,12.5,0.0,2.0,2,2,2,2
2019-07-02,15,The Dram Shop Central,11.5,0.0,2.0,2,2,2,2
2019-07-02,16,The Dram Shop Central,108.0,0.0,7.0,14,8,3,3
2019-07-02,17,The Dram Shop Central,56.63,1.12,6.0,10,9,5,5
2019-07-02,18,The Dram Shop Central,274.0,0.0,18.0,45,18,12,12
2019-07-02,19,The Dram Shop Central,113.5,0.0,14.0,16,9,7,7
2019-07-02,20,The Dram Shop Central,118.5,0.0,20.5,19,8,8,8
2019-07-02,21,The Dram Shop Central,185.5,0.0,37.0,27,8,8,8
2019-07-03,12,The Dram Shop Central,23.0,0.0,1.0,2,2,2,2
2019-07-03,14,The Dram Shop Central,21.0,0.0,2.0,2,2,2,2
2019-07-03,15,The Dram Shop Central,18.0,0.0,0.0,3,1,1,1
2019-07-03,16,The Dram Shop Central,132.5,0.0,16.0,16,10,7,7
2019-07-03,17,The Dram Shop Central,147.25,5.5,18.0,23,12,10,10
2019-07-03,18,The Dram Shop Central,161.5,0.0,18.0,24,12,9,9
2019-07-03,19,The Dram Shop Central,145.0,0.0,19.5,24,12,7,7
2019-07-03,20,The Dram Shop Central,128.5,0.0,13.0,21,9,6,6
2019-07-03,21,The Dram Shop Central,224.0,6.0,37.0,34,17,14,14
2019-07-03,22,The Dram Shop Central,63.0,0.0,11.0,9,3,3,3
2019-07-04,12,The Dram Shop Central,43.5,0.0,3.0,6,5,4,4
2019-07-04,13,The Dram Shop Central,68.0,0.0,10.0,11,7,4,4
2019-07-04,14,The Dram Shop Central,202.75,0.0,29.5,24,16,12,12
2019-07-04,15,The Dram Shop Central,210.5,0.0,17.0,24,14,3,3
2019-07-04,16,The Dram Shop Central,102.0,0.0,7.5,15,9,4,4
2019-07-04,17,The Dram Shop Central,216.69,6.81,22.75,34,17,7,7
2019-07-04,18,The Dram Shop Central,143.87,5.88,19.0,24,15,9,9
2019-07-04,19,The Dram Shop Central,186.75,0.0,31.0,29,16,13,13
2019-07-04,20,The Dram Shop Central,394.25,0.0,63.5,64,28,19,19
2019-07-04,21,The Dram Shop Central,394.37,13.38,44.75,73,37,20,20
2019-07-04,22,The Dram Shop Central,301.13,2.12,40.0,52,22,13,13
2019-07-04,23,The Dram Shop Central,12.0,0.0,0.0,1,1,1,1
2019-07-05,12,The Dram Shop Central,4.5,0.0,0.0,1,1,1,1
2019-07-05,13,The Dram Shop Central,39.5,0.0,3.0,6,4,3,3
2019-07-05,14,The Dram Shop Central,132.5,0.0,12.5,11,10,6,6
2019-07-05,15,The Dram Shop Central,22.0,0.0,4.5,2,2,2,2
2019-07-05,16,The Dram Shop Central,64.0,0.0,9.0,12,5,4,4
2019-07-05,17,The Dram Shop Central,35.0,0.0,0.0,7,5,1,1
2019-07-05,18,The Dram Shop Central,98.0,0.0,9.0,14,7,5,5
2019-07-05,19,The Dram Shop Central,137.5,0.0,20.5,19,6,6,6
2019-07-05,20,The Dram Shop Central,31.0,0.0,2.0,6,4,2,2
2019-07-05,21,The Dram Shop Central,59.5,0.0,9.0,9,6,6,6
2019-07-05,22,The Dram Shop Central,80.5,0.0,13.5,13,4,4,4
